Title: Mg II Absorbers in High-Resolution Quasar Spectra. I. Voigt Profile Models 
Authors: Churchill C.W., Evans J.L., Stemock B., Nielsen N.M., Kacprzak G.G., 
    Murphy M.T. 
Table: List of QSO spectra
================================================================================
Byte-by-byte Description of file: apjabbb34t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1- 16 A16    ---        QSO     QSO name in J2000 format
  18- 43 A26    ---        NED     QSO name resolved in NED (https://ned.ipac.caltech.edu)
  45- 69 A25    ---        Simbad  QSO name resolved in Simbad (http://simbad.u-strasbg.fr/simbad/)
  71- 75 F5.3   ---        zem     QSO emission redshift
  77- 80 I4     0.1nm      wmin    QSO spectrum minimum wavelength, (angstroms)
  82- 86 I5     0.1nm      wmax    QSO spectrum maximum wavelength, (angstroms)
  88- 97 A10    ---        Fac     QSO spectrum observation facility 
--------------------------------------------------------------------------------
J000149-015939   LBQS 2359-0216B            UM 196                    2.817 3045 10087 HIRES+UVES 
J000323-260318   [HB89] 0000-263            QSO B0000-263             4.111 5122  8143 HIRES      
J000344-232355   LQAC 000-023               HE 0001-2340              2.28  3044 10088 UVES       
J000448-415728   TOLOLO 0002-422            QSO B0002-422             2.76  3044 10087 UVES       
J000520+052411   UM 018                     UM 18                     1.9   3188  6081 HIRES      
J001130+005550   [HB89] 0008+006            QSO B0008+006             2.309 3760 10431 UVES       
J001210-012207   LBQS 0009-0138             UM 211                    1.999 3284  6106 UVES       
J001306+000431   [HB89] 0010-002            QSO B0010-002B            2.165 3045  6653 UVES       
J001602-001225   LBQS 0013-0029             UM 224                    2.086 3041  9396 UVES       
J002133+004301   LBQS 0018+0026             PB 5888                   1.245 3284  6652 UVES       
J002151-012833   LBQS 0019-0145A            PB 5893                   1.588 3936  9284 UVES       
J002208-150539   BR 0019-1522               BR B0019-15               4.53  5316  8327 HIRES      
J004428-243417   [HB89] 0042-248            QSO B0042-2450            0.807 3284  6652 UVES       
J004508-291432   LBQS 0042-2930             QSO B0042-2930            2.388 3283  6809 UVES       
J004812-255003   LBQS 0045-2606             QSO B0045-2606            1.242 3285  6651 UVES       
J004816-254745   [HB89] 0045-260            PHL 2981                  0.486 3284  6651 UVES       
J004848-260020   [VCV96] Q0046-2616         QSO B0046-2616            1.41  3284  6651 UVES       
J005024-252234   LBQS 0047-2538             QSO B0047-2538            1.969 3285  6652 UVES       
J005109-255216   [HB89] 0048-261            QSO B0048-261             2.249 3284  6651 UVES       
J005127-280433   WISEA J084754.98+292532.5  LBQS 0049-2820            2.256 3283  6650 UVES       
J005211-251857   LBQS 0049-2535             QSO B0049-2535            1.528 3284  6652 UVES       
J005419-254900   LBQS 0051-2605             QSO B0051-2605            0.624 3284  6652 UVES       
J005758-264314   [HB89] 0055-269            QSO B0055-26              3.662 3044  9898 HIRES+UVES 
J010054+021136   LBQS 0058+0155             PHL 938                   1.961 3324  5791 HIRES      
J005925-411043   CTS 0508                   QSO B0057-4126            2.05  3045  6810 UVES       
J010311+131617   [HB89] 0100+130            PHL 957                   2.681 3290 10087 HIRES+UVES 
J010821+062327   UM 086                     UM 86                     1.96  3478  9913 UVES       
J011143-350300   [HB89] 0109-353            QSO B0109-3518            2.41  3045 10087 UVES       
J012227-042127   [HB89] 0119-046            QSO B0119-0437            1.925 3323  6023 HIRES      
J012017+213347   PG 0117+213                QSO B0117+213             1.5   4317  6774 HIRES      
J012156+144824   SDSS J012156.03+144823.8   QSO B0119+1432            2.881 3642  6792 HIRES      
J012642+255901   [HB89] 0123+257            4C 25.05                  2.358 3679  6078 HIRES      
J012417-374423   [HB89] 0122-380            QSO B0122-380             2.2   3042 10087 UVES       
J012944-403346   2MASS J01294490-4033454    2MASS J01294490-4033454   0.514 3283  6809 UVES       
J013105-213446   [HB89] 0122-380            QSO B0128-2150            1.9   3042  6808 UVES       
J013405+005109   SDSS J013405.75+005109.4   QSO J0134+0051            1.519 3045  6653 UVES       
J013442-413611   LCRS B013232.5-415131      1E 0132.5-4151            0.172 3285  6812 UVES       
J013857-225447   [HB89] 0136-231            PKS 0136-231              1.893 3280  6650 UVES       
J014333-391700   WISEA J014333.63-391700.0  HE 0141-3932              1.807 3044 10087 UVES       
